id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
277,MARSTONS MILLS,Massachusetts,MA,6589,49.7,2.44,36688,82406,37785
278,MASHPEE,Massachusetts,MA,14054,52.4,2.22,34651,73841,41440
279,MAYNARD,Massachusetts,MA,10560,43.6,2.47,44890,95833,46986
280,MEDFIELD,Massachusetts,MA,12610,42.7,3,63423,153847,69495
281,MEDWAY,Massachusetts,MA,13162,41.2,2.8,53421,115432,50672
282,MENDON,Massachusetts,MA,5995,44.8,2.89,50917,125816,50536
283,MERRIMAC,Massachusetts,MA,6752,46.9,2.5,36313,84417,42351
284,MIDDLEBORO,Massachusetts,MA,24166,44,2.61,37373,79811,36186
285,MIDDLETON,Massachusetts,MA,9656,43.9,2.79,36677,107727,46477
286,MILFORD,Massachusetts,MA,28694,39.7,2.57,39075,75976,36016
287,MILLBURY,Massachusetts,MA,13521,43.2,2.51,33388,74713,37951
288,WENHAM,Massachusetts,MA,5179,24.7,2.62,19120,96979,45023
289,WEST BARNSTABLE,Massachusetts,MA,2807,53.6,2.32,36685,94250,49540
290,WESTBOROUGH,Massachusetts,MA,18836,38,2.74,50871,107604,47993
291,WEST BOYLSTON,Massachusetts,MA,7639,39.4,2.51,32337,73463,28418
292,WEST BRIDGEWATER,Massachusetts,MA,7117,44.1,2.82,39120,85368,35499
293,WEST BROOKFIELD,Massachusetts,MA,4661,46.7,2.37,29342,66317,35345
294,WEST CHATHAM,Massachusetts,MA,158,46.2,3.29,22454,89737,39332
295,WEST DENNIS,Massachusetts,MA,1158,59.3,1.75,38500,63675,55973
296,WESTFORD,Massachusetts,MA,24087,43.4,2.92,56537,138006,51526
297,WEST HARWICH,Massachusetts,MA,889,66.6,1.93,29792,60000,38013
299,WESTMINSTER,Massachusetts,MA,7566,44.7,2.67,50632,100071,43218
300,WEST NEWBURY,Massachusetts,MA,4545,46.2,2.84,50761,135882,58469
301,WEST TISBURY,Massachusetts,MA,2417,57.3,2.56,38474,92188,46615
302,UPTON,Massachusetts,MA,7706,42,2.82,56001,119115,48540
303,WEST WAREHAM,Massachusetts,MA,4873,45.2,2.57,39016,84497,38518
304,WESTWOOD,Massachusetts,MA,15612,45,2.82,61134,146042,66944
305,WHITINSVILLE,Massachusetts,MA,9864,38.1,2.61,32157,66607,32926
306,WHITMAN,Massachusetts,MA,14864,38.9,2.75,36356,79705,35036
307,WILMINGTON,Massachusetts,MA,23538,42.3,2.93,44406,118549,46239
308,WINCHENDON,Massachusetts,MA,10738,41.3,2.69,30627,64539,29400
309,WINCHESTER,Massachusetts,MA,22579,43.3,2.81,63800,152196,74405
310,WOBURN,Massachusetts,MA,40375,40,2.56,40162,84857,39344
311,WORCESTER,Massachusetts,MA,185257,34.13,2.37,24068.89,44264,25274.33
312,CHERRY VALLEY,Massachusetts,MA,2451,40.6,2.79,35043,81830,35915
313,PAXTON,Massachusetts,MA,4845,41.2,2.8,40851,95595,40615
314,WRENTHAM,Massachusetts,MA,11597,43.2,2.77,44252,107444,48677
315,YARMOUTH PORT,Massachusetts,MA,6314,60.5,2.08,33505,68638,43051
316,KINGSTON,Massachusetts,MA,13210,43.4,2.73,38569,89796,37695
317,LAKEVILLE,Massachusetts,MA,11292,45,2.83,41165,97990,41947
318,ABBOT,Maine,ME,650,51.8,2.07,22434,37188,25506
319,ACTON,Maine,ME,2550,47.7,2.49,26623,62659,28177
320,ADDISON,Maine,ME,1078,53.1,2.06,22147,37656,28179
321,ALBION,Maine,ME,1976,42.1,2.52,22760,48571,23969
322,ALFRED,Maine,ME,7456,48.1,2.51,29907,65347,28496
323,ALNA,Maine,ME,776,43.9,2.5,32772,65833,32278
324,ANDOVER,Maine,ME,365,58.5,2.07,25556,42500,25444
325,ANSON,Maine,ME,2102,44.6,2.38,22515,33866,19211
326,ASHLAND,Maine,ME,1760,46.1,2.31,23662,39420,20855
327,ATHENS,Maine,ME,952,44.6,2.65,15978,32159,14808
328,AUBURN,Maine,ME,22941,39,2.25,26895,48363,27362
329,AUGUSTA,Maine,ME,25626,44.5,2.2,24884,44127,25439
330,AURORA,Maine,ME,172,53.2,2.29,25000,49375,23876
331,BAILEY ISLAND,Maine,ME,359,60.4,2.06,41429,84250,40835
332,BANGOR,Maine,ME,44578,37.9,2.23,24708,46493,28056
333,BAR HARBOR,Maine,ME,5356,44.3,2.14,28092,53053,31658
334,FRENCHBORO,Maine,ME,45,17.3,5,22500,63250,13313
335,BASS HARBOR,Maine,ME,493,53,1.83,20792,41394,23042
336,BATH,Maine,ME,10794,43.2,2.08,27772,47760,32603
337,BEALS,Maine,ME,405,46.6,2.23,18917,50192,26932
338,BELFAST,Maine,ME,8842,46,2.27,28436,52226,29629
339,BELGRADE,Maine,ME,2801,43.6,2.84,33634,73144,28845
340,BELGRADE LAKES,Maine,ME,349,56.9,1.89,23375,52031,34899
341,BENEDICTA,Maine,ME,232,58.3,2,17656,48750,28762
342,BERNARD,Maine,ME,476,61.4,2.03,25714,60000,36613
343,BERWICK,Maine,ME,7538,41.3,2.56,32606,72731,32005
344,BETHEL,Maine,ME,2950,52.2,2.47,22170,47333,28007
346,BIDDEFORD,Maine,ME,23211,36.4,2.39,24786,51118,27151
348,BINGHAM,Maine,ME,1666,52.4,2.2,18512,32684,19440
349,BIRCH HARBOR,Maine,ME,123,49.9,2.24,25375,72083,49172
350,BLAINE,Maine,ME,738,43,2.31,22083,45438,22978
351,BLUE HILL,Maine,ME,2589,51,2.09,27393,48043,36274
353,BOOTHBAY,Maine,ME,1993,57.1,2.15,32224,62117,40701
354,BOOTHBAY HARBOR,Maine,ME,1921,59.1,1.83,25553,44013,30970
355,BOWDOINHAM,Maine,ME,2862,44.3,2.42,33327,70355,32904
356,BRADFORD,Maine,ME,1103,44.5,2.55,21768,45063,19777
357,BRADLEY,Maine,ME,1478,48.1,2.31,27096,51172,31140
358,BREWER,Maine,ME,9167,40.3,2.4,28456,56354,29174
359,BRIDGEWATER,Maine,ME,578,48.9,2.32,23558,44583,23741
360,BRIDGTON,Maine,ME,5282,42.9,2.47,25219,48524,23726
361,BRISTOL,Maine,ME,1104,54.6,2.22,26593,56364,30481
362,BROOKLIN,Maine,ME,857,53.8,2.19,21118,44219,32046
363,BROOKS,Maine,ME,1646,43.1,2.38,19655,34485,17189
