id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,household_income
158,SHIRLEY,Massachusetts,MA,7572.0,42.3,2.51,37145.0,31903.0,31903.0
159,SHREWSBURY,Massachusetts,MA,36269.0,41.7,2.81,45019.0,45803.0,45803.0
160,FAYVILLE,Massachusetts,MA,501.0,35.0,3.19,67917.0,41878.0,41878.0
161,SOUTHBOROUGH,Massachusetts,MA,9520.0,43.2,2.88,55070.0,64905.0,64905.0
162,SOUTHBRIDGE,Massachusetts,MA,16858.0,40.1,2.4,25526.0,25977.0,25977.0
164,SOUTH CHATHAM,Massachusetts,MA,1030.0,54.7,2.14,30906.0,42638.0,42638.0
165,SOUTH DENNIS,Massachusetts,MA,6657.0,56.7,2.04,30485.0,37433.0,37433.0
166,SOUTH EASTON,Massachusetts,MA,9938.0,42.6,2.71,41576.0,41819.0,41819.0
167,SOUTH GRAFTON,Massachusetts,MA,4477.0,38.1,2.6,44733.0,45027.0,45027.0
168,SOUTH HAMILTON,Massachusetts,MA,7991.0,40.5,2.92,41115.0,46157.0,46157.0
169,SOUTH LANCASTER,Massachusetts,MA,243.0,59.6,2.86,30294.0,32123.0,32123.0
170,SOUTH WALPOLE,Massachusetts,MA,1572.0,39.9,3.47,34125.0,33053.0,33053.0
171,SOUTH WELLFLEET,Massachusetts,MA,96.0,72.5,2.04,35859.0,43583.0,43583.0
172,SOUTH YARMOUTH,Massachusetts,MA,9226.0,52.4,2.18,28843.0,33321.0,33321.0
173,WEST YARMOUTH,Massachusetts,MA,8397.0,48.7,2.25,33155.0,36215.0,36215.0
174,SPENCER,Massachusetts,MA,11856.0,45.1,2.37,30109.0,31155.0,31155.0
175,STERLING,Massachusetts,MA,8000.0,44.7,2.91,43408.0,43640.0,43640.0
177,STOUGHTON,Massachusetts,MA,28338.0,43.5,2.61,34513.0,35777.0,35777.0
178,STOW,Massachusetts,MA,7061.0,44.1,2.69,59542.0,58780.0,58780.0
179,FISKDALE,Massachusetts,MA,3490.0,42.6,2.49,35030.0,39866.0,39866.0
180,STURBRIDGE,Massachusetts,MA,6006.0,42.0,2.7,41505.0,44937.0,44937.0
181,SUDBURY,Massachusetts,MA,18697.0,44.1,2.97,65431.0,75430.0,75430.0
182,SUTTON,Massachusetts,MA,9297.0,44.8,2.78,48605.0,43451.0,43451.0
183,TEMPLETON,Massachusetts,MA,4124.0,47.2,2.18,36462.0,38444.0,38444.0
184,TEWKSBURY,Massachusetts,MA,30433.0,44.4,2.61,40908.0,41265.0,41265.0
185,TOPSFIELD,Massachusetts,MA,6496.0,46.3,2.83,48911.0,54091.0,54091.0
186,TOWNSEND,Massachusetts,MA,7454.0,39.2,2.78,40361.0,39302.0,39302.0
187,WEST TOWNSEND,Massachusetts,MA,1964.0,44.5,2.75,33676.0,47724.0,47724.0
188,TRURO,Massachusetts,MA,638.0,64.0,1.78,26484.0,34001.0,34001.0
189,TYNGSBORO,Massachusetts,MA,12305.0,40.8,2.81,43087.0,43685.0,43685.0
190,UXBRIDGE,Massachusetts,MA,13864.0,40.3,2.86,39516.0,35943.0,35943.0
191,VINEYARD HAVEN,Massachusetts,MA,4100.0,42.6,2.81,31213.0,37472.0,37472.0
192,WAKEFIELD,Massachusetts,MA,26450.0,43.8,2.52,46082.0,44843.0,44843.0
193,WALPOLE,Massachusetts,MA,19358.0,43.0,2.74,47012.0,48885.0,48885.0
194,WAREHAM,Massachusetts,MA,10940.0,43.6,2.35,31352.0,30920.0,30920.0
195,WAYLAND,Massachusetts,MA,13850.0,44.5,2.73,70119.0,78360.0,78360.0
196,WEBSTER,Massachusetts,MA,16926.0,41.0,2.46,29659.0,28964.0,28964.0
197,DUDLEY,Massachusetts,MA,11637.0,37.9,2.74,30042.0,30057.0,30057.0
198,WELLFLEET,Massachusetts,MA,3075.0,57.4,2.1,25074.0,35707.0,35707.0
199,CUMMAQUID,Massachusetts,MA,141.0,52.6,2.52,59375.0,76937.0,76937.0
200,DANVERS,Massachusetts,MA,27391.0,45.0,2.51,38340.0,39435.0,39435.0
201,DEDHAM,Massachusetts,MA,25362.0,43.3,2.47,42933.0,47960.0,47960.0
202,DENNIS,Massachusetts,MA,3011.0,66.8,1.99,34045.0,46941.0,46941.0
203,DENNIS PORT,Massachusetts,MA,2949.0,49.4,1.89,29055.0,32823.0,32823.0
204,DOVER,Massachusetts,MA,5922.0,44.7,2.94,67917.0,106077.0,106077.0
205,DRACUT,Massachusetts,MA,30948.0,40.1,2.76,37490.0,36352.0,36352.0
206,DUNSTABLE,Massachusetts,MA,3337.0,45.5,2.93,52317.0,57005.0,57005.0
207,DUXBURY,Massachusetts,MA,15572.0,45.5,2.85,52370.0,55225.0,55225.0
208,EAST BRIDGEWATER,Massachusetts,MA,14301.0,39.8,2.93,36990.0,35012.0,35012.0
209,EAST BROOKFIELD,Massachusetts,MA,2123.0,42.2,2.56,37221.0,36927.0,36927.0
211,DOUGLAS,Massachusetts,MA,8745.0,41.7,2.78,41262.0,37825.0,37825.0
212,EAST FALMOUTH,Massachusetts,MA,19191.0,48.6,2.37,34375.0,37537.0,37537.0
213,EASTHAM,Massachusetts,MA,4908.0,59.1,2.01,31003.0,39357.0,39357.0
214,EAST SANDWICH,Massachusetts,MA,6572.0,45.7,2.69,38750.0,44247.0,44247.0
215,EAST TEMPLETON,Massachusetts,MA,563.0,60.1,2.45,32039.0,36265.0,36265.0
216,EAST WALPOLE,Massachusetts,MA,4410.0,42.9,2.68,53929.0,56421.0,56421.0
217,EAST WAREHAM,Massachusetts,MA,3571.0,42.1,2.47,29118.0,29027.0,29027.0
218,EDGARTOWN,Massachusetts,MA,4292.0,46.6,2.64,40276.0,49510.0,49510.0
219,ESSEX,Massachusetts,MA,3687.0,46.3,2.56,46319.0,51532.0,51532.0
220,FALMOUTH,Massachusetts,MA,8294.0,58.9,2.0,31452.0,47140.0,47140.0
221,WOODS HOLE,Massachusetts,MA,909.0,55.7,2.1,40433.0,90910.0,90910.0
222,HOLLAND,Massachusetts,MA,2510.0,43.7,2.64,34681.0,34752.0,34752.0
223,FITCHBURG,Massachusetts,MA,40666.0,35.4,2.61,25165.0,24887.0,24887.0
224,FORESTDALE,Massachusetts,MA,4393.0,41.7,2.91,31182.0,33850.0,33850.0
225,FOXBORO,Massachusetts,MA,17448.0,42.3,2.63,47401.0,46064.0,46064.0
226,FRAMINGHAM,Massachusetts,MA,71324.0,39.95,2.45,36959.5,39428.0,39428.0
227,FRANKLIN,Massachusetts,MA,32843.0,40.0,2.81,47738.0,48712.0,48712.0
228,GARDNER,Massachusetts,MA,20496.0,40.6,2.34,27274.0,25866.0,25866.0
229,GLOUCESTER,Massachusetts,MA,29858.0,49.0,2.29,32089.0,39670.0,39670.0
230,GRAFTON,Massachusetts,MA,6657.0,43.5,2.67,47190.0,49307.0,49307.0
231,GROTON,Massachusetts,MA,11282.0,45.6,2.72,52183.0,53410.0,53410.0
232,HALIFAX,Massachusetts,MA,7739.0,42.5,2.72,32603.0,33773.0,33773.0
233,HANOVER,Massachusetts,MA,14328.0,42.4,2.84,46488.0,49009.0,49009.0
234,HANSON,Massachusetts,MA,10560.0,44.7,2.83,39395.0,38591.0,38591.0
235,HARVARD,Massachusetts,MA,4630.0,47.2,2.81,57301.0,60666.0,60666.0
236,HARWICH,Massachusetts,MA,9516.0,52.6,2.2,36608.0,43233.0,43233.0
237,HARWICH PORT,Massachusetts,MA,1806.0,62.5,2.02,31619.0,37003.0,37003.0
239,HAVERHILL,Massachusetts,MA,62943.0,38.23,2.55,32753.33,33357.33,33357.33
240,GEORGETOWN,Massachusetts,MA,8569.0,46.0,2.62,49684.0,48049.0,48049.0
241,GROVELAND,Massachusetts,MA,6697.0,44.6,2.86,32431.0,38724.0,38724.0
242,HINGHAM,Massachusetts,MA,23047.0,45.6,2.61,52237.0,69709.0,69709.0
243,HOLBROOK,Massachusetts,MA,10753.0,46.1,2.52,34727.0,34198.0,34198.0
244,HOLDEN,Massachusetts,MA,15061.0,41.8,2.75,45588.0,43270.0,43270.0
245,HOLLISTON,Massachusetts,MA,14480.0,42.2,2.79,51607.0,53435.0,53435.0
246,HOPEDALE,Massachusetts,MA,5955.0,44.4,2.63,41338.0,40122.0,40122.0
247,HOPKINTON,Massachusetts,MA,16720.0,40.8,2.96,67222.0,60222.0,60222.0
248,HUBBARDSTON,Massachusetts,MA,4581.0,45.7,2.72,41069.0,38657.0,38657.0
249,HUDSON,Massachusetts,MA,19843.0,43.7,2.57,38506.0,39716.0,39716.0
250,HULL,Massachusetts,MA,10402.0,52.8,2.13,40912.0,48740.0,48740.0
252,HYANNIS,Massachusetts,MA,15063.0,39.3,2.33,25656.0,25577.0,25577.0
253,HYANNIS PORT,Massachusetts,MA,121.0,66.9,1.64,69279.0,65467.0,65467.0
254,IPSWICH,Massachusetts,MA,13810.0,48.8,2.4,39223.0,45228.0,45228.0
255,JEFFERSON,Massachusetts,MA,3497.0,41.2,2.82,46667.0,44718.0,44718.0
256,LANCASTER,Massachusetts,MA,7735.0,38.4,2.84,38542.0,35322.0,35322.0
257,LAWRENCE,Massachusetts,MA,79485.0,32.07,2.83,19355.0,18659.0,18659.0
258,METHUEN,Massachusetts,MA,49587.0,39.1,2.78,32387.0,32504.0,32504.0
259,NORTH ANDOVER,Massachusetts,MA,30170.0,39.9,2.6,46830.0,51658.0,51658.0
260,LEICESTER,Massachusetts,MA,6702.0,45.4,2.43,29578.0,34311.0,34311.0
261,LEOMINSTER,Massachusetts,MA,41446.0,40.2,2.48,30627.0,30775.0,30775.0
262,LINCOLN,Massachusetts,MA,4791.0,53.7,2.38,69031.0,103262.0,103262.0
263,LINWOOD,Massachusetts,MA,227.0,36.5,2.41,30662.0,25773.0,25773.0
264,LITTLETON,Massachusetts,MA,9754.0,44.4,2.79,42692.0,49934.0,49934.0
265,LOWELL,Massachusetts,MA,111056.0,32.65,2.79,24318.5,23126.5,23126.5
266,LUNENBURG,Massachusetts,MA,11150.0,44.1,2.67,41550.0,41737.0,41737.0
267,LYNN,Massachusetts,MA,93006.0,36.15,2.62,28174.75,25387.5,25387.5
268,SAUGUS,Massachusetts,MA,28037.0,45.7,2.71,35016.0,36419.0,36419.0
269,SWAMPSCOTT,Massachusetts,MA,14758.0,44.6,2.64,44487.0,51759.0,51759.0
270,NAHANT,Massachusetts,MA,3488.0,51.8,2.15,48400.0,57969.0,57969.0
271,LYNNFIELD,Massachusetts,MA,13425.0,45.4,2.71,51452.0,53792.0,53792.0
272,MANCHESTER,Massachusetts,MA,5327.0,51.1,2.52,46627.0,64841.0,64841.0
273,MANSFIELD,Massachusetts,MA,23678.0,38.4,2.79,47629.0,48061.0,48061.0
274,MARBLEHEAD,Massachusetts,MA,20393.0,47.8,2.46,51804.0,64757.0,64757.0
275,MARLBOROUGH,Massachusetts,MA,39771.0,39.5,2.52,35448.0,38866.0,38866.0
276,MARSHFIELD,Massachusetts,MA,26032.0,45.1,2.73,39094.0,41767.0,41767.0
277,MARSTONS MILLS,Massachusetts,MA,6589.0,49.7,2.44,36688.0,37785.0,37785.0
278,MASHPEE,Massachusetts,MA,14054.0,52.4,2.22,34651.0,41440.0,41440.0
279,MAYNARD,Massachusetts,MA,10560.0,43.6,2.47,44890.0,46986.0,46986.0
280,MEDFIELD,Massachusetts,MA,12610.0,42.7,3.0,63423.0,69495.0,69495.0
281,MEDWAY,Massachusetts,MA,13162.0,41.2,2.8,53421.0,50672.0,50672.0
282,MENDON,Massachusetts,MA,5995.0,44.8,2.89,50917.0,50536.0,50536.0
283,MERRIMAC,Massachusetts,MA,6752.0,46.9,2.5,36313.0,42351.0,42351.0
284,MIDDLEBORO,Massachusetts,MA,24166.0,44.0,2.61,37373.0,36186.0,36186.0
285,MIDDLETON,Massachusetts,MA,9656.0,43.9,2.79,36677.0,46477.0,46477.0
286,MILFORD,Massachusetts,MA,28694.0,39.7,2.57,39075.0,36016.0,36016.0
287,MILLBURY,Massachusetts,MA,13521.0,43.2,2.51,33388.0,37951.0,37951.0
288,WENHAM,Massachusetts,MA,5179.0,24.7,2.62,19120.0,45023.0,45023.0
289,WEST BARNSTABLE,Massachusetts,MA,2807.0,53.6,2.32,36685.0,49540.0,49540.0
290,WESTBOROUGH,Massachusetts,MA,18836.0,38.0,2.74,50871.0,47993.0,47993.0
291,WEST BOYLSTON,Massachusetts,MA,7639.0,39.4,2.51,32337.0,28418.0,28418.0
292,WEST BRIDGEWATER,Massachusetts,MA,7117.0,44.1,2.82,39120.0,35499.0,35499.0
293,WEST BROOKFIELD,Massachusetts,MA,4661.0,46.7,2.37,29342.0,35345.0,35345.0
294,WEST CHATHAM,Massachusetts,MA,158.0,46.2,3.29,22454.0,39332.0,39332.0
